filename,disease_type,file_size,image_width,image_height,channels,mean_intensity,std_intensity,min_intensity,max_intensity,contrast,brightness,texture_complexity,skewness,kurtosis,edge_density,processing_timestamp,feature_extraction_method,brightness_category,contrast_category,quality_score,texture_normalized,severity_score,brightness_deviation,processed_by,partition_id
train_dme_train_2927.jpg,DME,64176,512,512,3,39.71042251586914,43.954923726904134,0.0,255.0,1.1068863271182472,0.15572714712105545,864.5431573937966,2.782635724461747,12.242060365239027,21.452980041503906,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.2277974112351381,0.048303038440187844,5,-0.03570050660209165,spark-worker-2,1
train_dme_train_2484.jpg,DME,75964,512,512,3,35.427696228027344,39.476657274296336,0.0,255.0,1.1142880141064833,0.13893214207069546,694.323458715342,1.9960796253482935,7.306187990662841,40.54023742675781,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.22067652912541696,0.038720733344353254,5,-0.05249551165245164,spark-worker-2,1
train_dme_train_2137.jpg,DME,49062,768,496,3,61.12897712953629,72.67916569452191,0.0,255.0,1.188947846133758,0.239721478939358,633.8529547040056,1.7994399419402616,5.080883604976165,20.142113470262096,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.2609045479506661,0.035316621932840936,5,0.048293825216210895,spark-worker-2,1
train_dme_train_2713.jpg,DME,60667,512,512,3,27.246414184570312,28.00916975478525,0.0,255.0,1.0279947139116343,0.10684868307674632,315.350983945129,2.130570969959133,8.90510156324161,15.841197967529297,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.19110448001792907,0.01738695174113565,4,-0.08457897064640078,spark-worker-2,1
train_dme_train_3189.jpg,DME,41556,512,496,3,48.55730216733871,48.32559076344554,0.0,255.0,0.9952280832428736,0.190420792813093,605.5732471053328,2.184016089237161,8.35248569849349,41.71745054183468,2025-08-03T08:42:37.602514,opencv_analysis,Low,Medium,0.21672509394466086,0.03372465115428043,4,-0.0010068609100541137,spark-worker-2,1
train_dme_train_1624.jpg,DME,58035,512,512,3,32.61216735839844,45.505308987224474,0.0,255.0,1.395347585676661,0.12789085238587622,931.1708333924762,3.7713615850415563,18.249941696995702,16.307144165039062,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.26366777218948967,0.05205376014985196,5,-0.06353680133727088,spark-worker-2,1
test_dme_test_1198.jpg,DME,64760,512,512,3,33.45597457885742,39.501684606946924,0.0,255.0,1.180706438960236,0.1311999003092448,376.6434763426514,2.100236290814666,7.527752855350908,17.804203033447266,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.2223074951073614,0.020837335961040995,5,-0.060227753413902296,spark-worker-2,1
train_dme_train_1098.jpg,DME,45108,512,496,3,70.04220088835686,67.58601450115471,0.0,255.0,0.9649327640186925,0.27467529760139947,1295.3557052646418,1.7183392624961324,5.083435857393497,56.386738438760084,2025-08-03T08:42:37.602514,opencv_analysis,Low,Medium,0.25039498668751115,0.07255509213821736,6,0.08324764387825237,spark-worker-2,1
train_dme_train_1108.jpg,DME,58019,512,512,3,52.23796463012695,63.83072671890451,0.0,255.0,1.2219221627576913,0.2048547632553998,604.0333020975813,2.11312307731225,6.80051667146566,17.092151641845703,2025-08-03T08:42:37.602514,opencv_analysis,Low,High,0.25479902771171364,0.03363796187560325,5,0.013427109532252707,spark-worker-2,1
train_dme_train_1165.jpg,DME,64915,512,512,3,42.75490951538086,42.15513471057937,0.0,255.0,0.9859717910387408,0.16766631182502298,758.7708414224762,2.0691364967906893,8.385198035625141,29.08224105834961,2025-08-03T08:42:37.602514,opencv_analysis,Low,Medium,0.21138632398712606,0.04234871816939008,4,-0.023761341898124122,spark-worker-2,1
